key,generation,grandChild,survivedTime,eatenTrees,reproduced,timeOfDeath,causeOfDeath,fitness
1, 1, 0, 2, 0, 0, 0, 2, -1
1, 1, 0, 3, 0, 0, 0, 2, -2
1, 1, 0, 4, 0, 0, 0, 2, -3
1, 1, 0, 5, 0, 0, 0, 2, -4
0, 1, 0, 57, 0, 0, 0, 1, 0
2, 1, 0, 57, 0, 0, 0, 1, 0
3, 1, 0, 57, 0, 0, 0, 1, 0
0, 1, 0, 58, 0, 0, 0, 1, 0
2, 1, 0, 58, 0, 0, 0, 1, 0
3, 1, 0, 58, 0, 0, 0, 1, 0
5, 1, 0, 57, 0, 0, 0, 1, 0
0, 1, 0, 59, 0, 0, 0, 1, 0
2, 1, 0, 59, 0, 0, 0, 1, 0
3, 1, 0, 59, 0, 0, 0, 1, 0
5, 1, 0, 58, 0, 0, 0, 1, 0
0, 1, 0, 60, 0, 0, 0, 1, 0
2, 1, 0, 60, 0, 0, 0, 1, 0
3, 1, 0, 60, 0, 0, 0, 1, 0
5, 1, 0, 59, 0, 0, 0, 1, 0
5, 1, 0, 60, 0, 0, 0, 1, 0
4, 1, 0, 65, 0, 0, 0, 1, 0
4, 1, 0, 66, 0, 0, 0, 1, 0
4, 1, 0, 67, 0, 0, 0, 1, 0
4, 1, 0, 68, 0, 0, 0, 1, 0
7, 1, 0, 57, 0, 0, 0, 1, 0
7, 1, 0, 58, 0, 0, 0, 1, 0
9, 1, 0, 57, 0, 0, 0, 1, 0
7, 1, 0, 59, 0, 0, 0, 1, 0
9, 1, 0, 58, 0, 0, 0, 1, 0
7, 1, 0, 60, 0, 0, 0, 1, 0
9, 1, 0, 59, 0, 0, 0, 1, 0
9, 1, 0, 60, 0, 0, 0, 1, 0
6, 1, 0, 65, 0, 0, 0, 1, 0
6, 1, 0, 66, 0, 0, 0, 1, 0
6, 1, 0, 67, 0, 0, 0, 1, 0
6, 1, 0, 68, 0, 0, 0, 1, 0
10, 1, 0, 65, 0, 0, 0, 1, 0
10, 1, 0, 66, 0, 0, 0, 1, 0
10, 1, 0, 67, 0, 0, 0, 1, 0
10, 1, 0, 68, 0, 0, 0, 1, 0
12, 1, 0, 57, 0, 0, 0, 1, 0
12, 1, 0, 58, 0, 0, 0, 1, 0
12, 1, 0, 59, 0, 0, 0, 1, 0
12, 1, 0, 60, 0, 0, 0, 1, 0
11, 1, 0, 65, 0, 0, 0, 1, 0
11, 1, 0, 66, 0, 0, 0, 1, 0
11, 1, 0, 67, 0, 0, 0, 1, 0
11, 1, 0, 68, 0, 0, 0, 1, 0
13, 1, 0, 60, 0, 0, 0, 1, 0
13, 1, 0, 61, 0, 0, 0, 1, 0
13, 1, 0, 62, 0, 0, 0, 1, 0
13, 1, 0, 63, 0, 0, 0, 1, 0
14, 1, 0, 60, 0, 0, 0, 1, 0
14, 1, 0, 61, 0, 0, 0, 1, 0
14, 1, 0, 62, 0, 0, 0, 1, 0
14, 1, 0, 63, 0, 0, 0, 1, 0
17, 1, 0, 44, 0, 0, 1, 2, -1
17, 1, 0, 45, 0, 0, 1, 2, -2
17, 1, 0, 46, 0, 0, 1, 2, -3
17, 1, 0, 47, 0, 0, 1, 2, -4
16, 1, 0, 57, 0, 0, 1, 1, 0
15, 1, 0, 65, 0, 0, 1, 1, 0
16, 1, 0, 58, 0, 0, 1, 1, 0
15, 1, 0, 66, 0, 0, 1, 1, 0
16, 1, 0, 59, 0, 0, 1, 1, 0
15, 1, 0, 67, 0, 0, 1, 1, 0
16, 1, 0, 60, 0, 0, 1, 1, 0
15, 1, 0, 68, 0, 0, 1, 1, 0
18, 1, 0, 65, 0, 0, 1, 1, 0
18, 1, 0, 66, 0, 0, 1, 1, 0
18, 1, 0, 67, 0, 0, 1, 1, 0
18, 1, 0, 68, 0, 0, 1, 1, 0
19, 1, 0, 49, 0, 0, 1, 2, -1
19, 1, 0, 50, 0, 0, 1, 2, -2
19, 1, 0, 51, 0, 0, 1, 2, -3
19, 1, 0, 52, 0, 0, 1, 2, -4
8, 1, 0, 230, 3, 0, 1, 1, 3
8, 1, 0, 231, 3, 0, 1, 1, 3
8, 1, 0, 232, 3, 0, 1, 1, 3
8, 1, 0, 233, 3, 0, 1, 1, 3
20, 1, 0, 65, 0, 0, 1, 1, 0
20, 1, 0, 66, 0, 0, 1, 1, 0
20, 1, 0, 67, 0, 0, 1, 1, 0
20, 1, 0, 68, 0, 0, 1, 1, 0
22, 1, 0, 57, 0, 0, 1, 1, 0
22, 1, 0, 58, 0, 0, 1, 1, 0
22, 1, 0, 59, 0, 0, 1, 1, 0
22, 1, 0, 60, 0, 0, 1, 1, 0
23, 1, 0, 57, 0, 0, 1, 1, 0
23, 1, 0, 58, 0, 0, 1, 1, 0
23, 1, 0, 59, 0, 0, 1, 1, 0
23, 1, 0, 60, 0, 0, 1, 1, 0
8, 1, 1, 51, 1, 0, 1, 2, 0
8, 1, 1, 52, 1, 0, 1, 2, -1
8, 1, 1, 53, 1, 0, 1, 2, -2
8, 1, 1, 54, 1, 0, 1, 2, -3
8, 1, 1, 57, 0, 0, 1, 1, 0
