key,generation,grandChild,survivedTime,eatenTrees,reproduced,timeOfDeath,causeOfDeath,fitness
1, 1, 0, 57, 0, 0, 1, 1, 0
2, 1, 0, 57, 0, 0, 1, 1, 0
3, 1, 0, 57, 0, 0, 1, 1, 0
4, 1, 0, 57, 0, 0, 1, 1, 0
1, 1, 0, 58, 0, 0, 1, 1, 0
2, 1, 0, 58, 0, 0, 1, 1, 0
3, 1, 0, 58, 0, 0, 1, 1, 0
4, 1, 0, 58, 0, 0, 1, 1, 0
1, 1, 0, 59, 0, 0, 1, 1, 0
2, 1, 0, 59, 0, 0, 1, 1, 0
3, 1, 0, 59, 0, 0, 1, 1, 0
4, 1, 0, 59, 0, 0, 1, 1, 0
1, 1, 0, 60, 0, 0, 1, 1, 0
2, 1, 0, 60, 0, 0, 1, 1, 0
3, 1, 0, 60, 0, 0, 1, 1, 0
4, 1, 0, 60, 0, 0, 1, 1, 0
0, 1, 0, 65, 0, 0, 1, 1, 0
0, 1, 0, 66, 0, 0, 1, 1, 0
0, 1, 0, 67, 0, 0, 1, 1, 0
0, 1, 0, 68, 0, 0, 1, 1, 0
5, 1, 0, 55, 0, 0, 1, 1, 0
5, 1, 0, 56, 0, 0, 1, 1, 0
5, 1, 0, 57, 0, 0, 1, 1, 0
6, 1, 0, 57, 0, 0, 1, 1, 0
5, 1, 0, 58, 0, 0, 1, 1, 0
6, 1, 0, 58, 0, 0, 1, 1, 0
6, 1, 0, 59, 0, 0, 1, 1, 0
6, 1, 0, 60, 0, 0, 1, 1, 0
7, 1, 0, 65, 0, 0, 1, 1, 0
8, 1, 0, 65, 0, 0, 1, 1, 0
9, 1, 0, 57, 0, 0, 1, 1, 0
7, 1, 0, 66, 0, 0, 1, 1, 0
8, 1, 0, 66, 0, 0, 1, 1, 0
9, 1, 0, 58, 0, 0, 1, 1, 0
7, 1, 0, 67, 0, 0, 1, 1, 0
8, 1, 0, 67, 0, 0, 1, 1, 0
9, 1, 0, 59, 0, 0, 1, 1, 0
7, 1, 0, 68, 0, 0, 1, 1, 0
8, 1, 0, 68, 0, 0, 1, 1, 0
9, 1, 0, 60, 0, 0, 1, 1, 0
14, 1, 0, 15, 0, 0, 1, 2, -1
14, 1, 0, 16, 0, 0, 1, 2, -2
14, 1, 0, 17, 0, 0, 1, 2, -3
14, 1, 0, 18, 0, 0, 1, 2, -4
10, 1, 0, 58, 0, 0, 1, 2, -1
10, 1, 0, 59, 0, 0, 1, 2, -2
11, 1, 0, 57, 0, 0, 1, 1, 0
10, 1, 0, 60, 0, 0, 1, 2, -3
11, 1, 0, 58, 0, 0, 1, 1, 0
10, 1, 0, 61, 0, 0, 1, 2, -4
11, 1, 0, 59, 0, 0, 1, 1, 0
11, 1, 0, 60, 0, 0, 1, 1, 0
12, 1, 0, 57, 0, 0, 1, 1, 0
12, 1, 0, 58, 0, 0, 1, 1, 0
12, 1, 0, 59, 0, 0, 1, 1, 0
12, 1, 0, 60, 0, 0, 1, 1, 0
13, 1, 0, 67, 0, 0, 1, 1, 0
13, 1, 0, 68, 0, 0, 1, 1, 0
13, 1, 0, 69, 0, 0, 1, 1, 0
13, 1, 0, 70, 0, 0, 1, 1, 0
15, 1, 0, 57, 0, 0, 1, 1, 0
15, 1, 0, 58, 0, 0, 1, 1, 0
15, 1, 0, 59, 0, 0, 1, 1, 0
15, 1, 0, 60, 0, 0, 1, 1, 0
17, 1, 0, 36, 0, 0, 1, 2, -1
17, 1, 0, 37, 0, 0, 1, 2, -2
17, 1, 0, 38, 0, 0, 1, 2, -3
17, 1, 0, 39, 0, 0, 1, 2, -4
16, 1, 0, 65, 0, 0, 1, 1, 0
16, 1, 0, 66, 0, 0, 1, 1, 0
18, 1, 0, 57, 0, 0, 1, 1, 0
16, 1, 0, 67, 0, 0, 1, 1, 0
18, 1, 0, 58, 0, 0, 1, 1, 0
16, 1, 0, 68, 0, 0, 1, 1, 0
18, 1, 0, 59, 0, 0, 1, 1, 0
18, 1, 0, 60, 0, 0, 1, 1, 0
19, 1, 0, 58, 0, 0, 1, 1, 0
19, 1, 0, 59, 0, 0, 1, 1, 0
19, 1, 0, 60, 0, 0, 1, 1, 0
19, 1, 0, 61, 0, 0, 1, 1, 0
20, 1, 0, 57, 0, 0, 1, 1, 0
20, 1, 0, 58, 0, 0, 1, 1, 0
20, 1, 0, 59, 0, 0, 1, 1, 0
20, 1, 0, 60, 0, 0, 1, 1, 0
21, 1, 0, 57, 0, 0, 1, 1, 0
21, 1, 0, 58, 0, 0, 1, 1, 0
21, 1, 0, 59, 0, 0, 1, 1, 0
21, 1, 0, 60, 0, 0, 1, 1, 0
22, 1, 0, 65, 0, 0, 2, 1, 0
22, 1, 0, 66, 0, 0, 2, 1, 0
23, 1, 0, 65, 0, 0, 2, 1, 0
22, 1, 0, 67, 0, 0, 2, 1, 0
23, 1, 0, 66, 0, 0, 2, 1, 0
22, 1, 0, 68, 0, 0, 2, 1, 0
23, 1, 0, 67, 0, 0, 2, 1, 0
23, 1, 0, 68, 0, 0, 2, 1, 0
24, 1, 0, 57, 0, 0, 2, 1, 0
24, 1, 0, 58, 0, 0, 2, 1, 0
24, 1, 0, 59, 0, 0, 2, 1, 0
24, 1, 0, 60, 0, 0, 2, 1, 0
25, 1, 0, 65, 0, 0, 2, 1, 0
25, 1, 0, 66, 0, 0, 2, 1, 0
25, 1, 0, 67, 0, 0, 2, 1, 0
25, 1, 0, 68, 0, 0, 2, 1, 0
26, 1, 0, 65, 0, 0, 2, 1, 0
26, 1, 0, 66, 0, 0, 2, 1, 0
26, 1, 0, 67, 0, 0, 2, 1, 0
26, 1, 0, 68, 0, 0, 2, 1, 0
29, 1, 0, 57, 0, 0, 2, 1, 0
29, 1, 0, 58, 0, 0, 2, 1, 0
29, 1, 0, 59, 0, 0, 2, 1, 0
29, 1, 0, 60, 0, 0, 2, 1, 0
27, 1, 0, 65, 0, 0, 2, 1, 0
27, 1, 0, 66, 0, 0, 2, 1, 0
27, 1, 0, 67, 0, 0, 2, 1, 0
27, 1, 0, 68, 0, 0, 2, 1, 0
30, 1, 0, 57, 0, 0, 2, 1, 0
30, 1, 0, 58, 0, 0, 2, 1, 0
30, 1, 0, 59, 0, 0, 2, 1, 0
30, 1, 0, 60, 0, 0, 2, 1, 0
