key,generation,grandChild,survivedTime,eatenTrees,reproduced,timeOfDeath,drown
124, 1, 0, 13, 0, 0, 0, 1
51, 1, 0, 17, 0, 0, 0, 1
134, 1, 0, 21, 0, 0, 0, 1
195, 1, 0, 25, 0, 0, 0, 1
135, 1, 0, 26, 0, 0, 0, 1
254, 1, 0, 26, 0, 0, 0, 1
28, 1, 0, 29, 0, 0, 0, 1
228, 1, 0, 29, 0, 0, 0, 1
20, 1, 0, 32, 0, 0, 0, 1
115, 1, 0, 32, 0, 0, 0, 1
277, 1, 0, 32, 0, 0, 0, 1
158, 1, 0, 37, 0, 0, 0, 1
39, 1, 0, 38, 1, 0, 0, 1
204, 1, 0, 38, 0, 0, 0, 1
4, 1, 0, 44, 0, 0, 1, 1
85, 1, 0, 47, 0, 0, 1, 1
178, 1, 1, 28, 0, 0, 1, 1
123, 1, 0, 55, 0, 0, 1, 1
286, 1, 1, 42, 0, 0, 1, 1
241, 1, 0, 59, 0, 0, 1, 1
172, 1, 0, 60, 0, 0, 1, 1
38, 1, 0, 63, 0, 0, 1, 1
141, 1, 0, 64, 1, 0, 1, 1
238, 1, 0, 64, 0, 0, 1, 1
178, 1, 0, 66, 2, 1, 1, 1
258, 1, 0, 67, 1, 0, 1, 1
88, 1, 0, 76, 0, 0, 1, 1
177, 1, 1, 15, 0, 0, 1, 1
240, 1, 0, 86, 0, 0, 2, 1
182, 1, 0, 87, 0, 0, 2, 1
253, 1, 1, 20, 0, 0, 2, 1
189, 1, 0, 88, 0, 0, 2, 1
177, 1, 0, 90, 2, 1, 2, 1
47, 1, 0, 94, 0, 0, 2, 1
161, 1, 0, 94, 2, 1, 2, 1
87, 1, 0, 95, 0, 0, 2, 0
199, 1, 0, 95, 1, 0, 2, 1
203, 1, 0, 95, 2, 1, 2, 1
1, 1, 0, 97, 0, 0, 2, 0
90, 1, 0, 98, 0, 0, 2, 0
0, 1, 0, 100, 0, 0, 2, 0
2, 1, 0, 100, 0, 0, 2, 0
3, 1, 0, 100, 0, 0, 2, 0
5, 1, 0, 100, 0, 0, 2, 0
6, 1, 0, 100, 0, 0, 2, 0
7, 1, 0, 100, 0, 0, 2, 0
8, 1, 0, 100, 0, 0, 2, 0
9, 1, 0, 100, 0, 0, 2, 0
10, 1, 0, 100, 0, 0, 2, 0
11, 1, 0, 100, 0, 0, 2, 0
12, 1, 0, 100, 0, 0, 2, 0
13, 1, 0, 100, 0, 0, 2, 0
14, 1, 0, 100, 0, 0, 2, 0
15, 1, 0, 100, 0, 0, 2, 0
16, 1, 0, 100, 0, 0, 2, 0
18, 1, 0, 100, 0, 0, 2, 0
19, 1, 0, 100, 0, 0, 2, 0
21, 1, 0, 100, 0, 0, 2, 0
22, 1, 0, 100, 0, 0, 2, 0
23, 1, 0, 100, 0, 0, 2, 0
25, 1, 0, 100, 0, 0, 2, 0
