key,generation,grandChild,survivedTime,eatenTrees,reproduced,timeOfDeath,causeOfDeath,fitness
0, 1, 0, 57, 0, 0, 0, 1, 0
4, 1, 0, 57, 0, 0, 0, 1, 0
0, 1, 0, 58, 0, 0, 0, 1, 0
4, 1, 0, 58, 0, 0, 0, 1, 0
0, 1, 0, 59, 0, 0, 0, 1, 0
4, 1, 0, 59, 0, 0, 0, 1, 0
0, 1, 0, 60, 0, 0, 0, 1, 0
4, 1, 0, 60, 0, 0, 0, 1, 0
1, 1, 0, 65, 0, 0, 0, 1, 0
2, 1, 0, 65, 0, 0, 0, 1, 0
1, 1, 0, 66, 0, 0, 0, 1, 0
2, 1, 0, 66, 0, 0, 0, 1, 0
1, 1, 0, 67, 0, 0, 0, 1, 0
2, 1, 0, 67, 0, 0, 0, 1, 0
1, 1, 0, 68, 0, 0, 0, 1, 0
2, 1, 0, 68, 0, 0, 0, 1, 0
5, 1, 0, 13, 0, 0, 0, 2, -1
5, 1, 0, 14, 0, 0, 0, 2, -2
5, 1, 0, 15, 0, 0, 0, 2, -3
5, 1, 0, 16, 0, 0, 0, 2, -4
3, 1, 0, 76, 0, 0, 0, 1, 0
3, 1, 0, 77, 0, 0, 0, 1, 0
3, 1, 0, 78, 0, 0, 0, 1, 0
3, 1, 0, 79, 0, 0, 0, 1, 0
6, 1, 0, 57, 0, 0, 0, 1, 0
6, 1, 0, 58, 0, 0, 0, 1, 0
6, 1, 0, 59, 0, 0, 0, 1, 0
6, 1, 0, 60, 0, 0, 0, 1, 0
7, 1, 0, 57, 0, 0, 0, 1, 0
7, 1, 0, 58, 0, 0, 0, 1, 0
7, 1, 0, 59, 0, 0, 0, 1, 0
7, 1, 0, 60, 0, 0, 0, 1, 0
10, 1, 0, 54, 0, 0, 0, 1, 0
10, 1, 0, 55, 0, 0, 0, 1, 0
9, 1, 0, 63, 0, 0, 0, 1, 0
10, 1, 0, 56, 0, 0, 0, 1, 0
9, 1, 0, 64, 0, 0, 0, 1, 0
10, 1, 0, 57, 0, 0, 0, 1, 0
9, 1, 0, 65, 0, 0, 0, 1, 0
9, 1, 0, 66, 0, 0, 0, 1, 0
14, 1, 0, 18, 0, 0, 0, 2, -1
14, 1, 0, 19, 0, 0, 0, 2, -2
14, 1, 0, 20, 0, 0, 0, 2, -3
14, 1, 0, 21, 0, 0, 0, 2, -4
11, 1, 0, 65, 0, 0, 0, 1, 0
11, 1, 0, 66, 0, 0, 0, 1, 0
11, 1, 0, 67, 0, 0, 0, 1, 0
11, 1, 0, 68, 0, 0, 0, 1, 0
13, 1, 0, 56, 0, 0, 0, 2, -1
12, 1, 0, 65, 0, 0, 0, 1, 0
13, 1, 0, 57, 0, 0, 0, 2, -2
12, 1, 0, 66, 0, 0, 0, 1, 0
13, 1, 0, 58, 0, 0, 0, 2, -3
12, 1, 0, 67, 0, 0, 0, 1, 0
13, 1, 0, 59, 0, 0, 0, 2, -4
12, 1, 0, 68, 0, 0, 0, 1, 0
16, 1, 0, 17, 0, 0, 1, 2, -1
16, 1, 0, 18, 0, 0, 1, 2, -2
16, 1, 0, 19, 0, 0, 1, 2, -3
16, 1, 0, 20, 0, 0, 1, 2, -4
15, 1, 0, 56, 1, 0, 1, 2, 0
15, 1, 0, 57, 1, 0, 1, 2, -1
15, 1, 0, 58, 1, 0, 1, 2, -2
15, 1, 0, 59, 1, 0, 1, 2, -3
18, 1, 0, 44, 0, 0, 1, 2, -1
18, 1, 0, 45, 0, 0, 1, 2, -2
18, 1, 0, 46, 0, 0, 1, 2, -3
18, 1, 0, 47, 0, 0, 1, 2, -4
17, 1, 0, 69, 0, 0, 1, 2, -1
17, 1, 0, 70, 0, 0, 1, 2, -2
17, 1, 0, 71, 0, 0, 1, 2, -3
17, 1, 0, 72, 0, 0, 1, 2, -4
19, 1, 0, 65, 0, 0, 1, 1, 0
19, 1, 0, 66, 0, 0, 1, 1, 0
19, 1, 0, 67, 0, 0, 1, 1, 0
20, 1, 0, 65, 0, 0, 1, 1, 0
20, 1, 0, 66, 0, 0, 1, 1, 0
20, 1, 0, 67, 0, 0, 1, 1, 0
20, 1, 0, 68, 0, 0, 1, 1, 0
21, 1, 0, 48, 0, 0, 1, 2, -1
21, 1, 0, 49, 0, 0, 1, 2, -2
21, 1, 0, 50, 0, 0, 1, 2, -3
21, 1, 0, 51, 0, 0, 1, 2, -4
22, 1, 0, 54, 0, 0, 1, 1, 0
22, 1, 0, 55, 0, 0, 1, 1, 0
22, 1, 0, 56, 0, 0, 1, 1, 0
22, 1, 0, 57, 0, 0, 1, 1, 0
23, 1, 0, 65, 0, 0, 1, 1, 0
23, 1, 0, 66, 0, 0, 1, 1, 0
23, 1, 0, 67, 0, 0, 1, 1, 0
23, 1, 0, 68, 0, 0, 1, 1, 0
24, 1, 0, 65, 0, 0, 1, 1, 0
24, 1, 0, 66, 0, 0, 1, 1, 0
24, 1, 0, 67, 0, 0, 1, 1, 0
24, 1, 0, 68, 0, 0, 1, 1, 0
8, 1, 0, 271, 4, 0, 1, 1, 4
8, 1, 0, 272, 4, 0, 1, 1, 4
8, 1, 0, 273, 4, 0, 1, 1, 4
8, 1, 0, 274, 4, 0, 1, 1, 4
26, 1, 0, 65, 0, 0, 1, 1, 0
26, 1, 0, 66, 0, 0, 1, 1, 0
26, 1, 0, 67, 0, 0, 1, 1, 0
26, 1, 0, 68, 0, 0, 1, 1, 0
27, 1, 0, 57, 0, 0, 1, 1, 0
27, 1, 0, 58, 0, 0, 1, 1, 0
27, 1, 0, 59, 0, 0, 1, 1, 0
27, 1, 0, 60, 0, 0, 1, 1, 0
28, 1, 0, 57, 0, 0, 1, 1, 0
28, 1, 0, 58, 0, 0, 1, 1, 0
28, 1, 0, 59, 0, 0, 1, 1, 0
28, 1, 0, 60, 0, 0, 1, 1, 0
8, 1, 1, 76, 0, 0, 1, 1, 0
8, 1, 1, 77, 0, 0, 1, 1, 0
8, 1, 1, 2, 0, 0, 1, 2, -1
8, 1, 1, 78, 0, 0, 2, 1, 0
8, 1, 1, 3, 0, 0, 2, 2, -2
8, 1, 1, 79, 0, 0, 2, 1, 0
8, 1, 1, 4, 0, 0, 2, 2, -3
8, 1, 1, 5, 0, 0, 2, 2, -4
25, 1, 0, 148, 3, 0, 2, 2, 2
25, 1, 0, 149, 3, 0, 2, 2, 1
25, 1, 0, 150, 3, 0, 2, 2, 0
25, 1, 0, 151, 3, 0, 2, 2, -1
29, 1, 0, 65, 0, 0, 2, 1, 0
8, 1, 1, 57, 0, 0, 2, 1, 0
29, 1, 0, 66, 0, 0, 2, 1, 0
8, 1, 1, 58, 0, 0, 2, 1, 0
29, 1, 0, 67, 0, 0, 2, 1, 0
8, 1, 1, 59, 0, 0, 2, 1, 0
29, 1, 0, 68, 0, 0, 2, 1, 0
8, 1, 1, 60, 0, 0, 2, 1, 0
8, 1, 1, 65, 0, 0, 2, 1, 0
8, 1, 1, 66, 0, 0, 2, 1, 0
8, 1, 1, 67, 0, 0, 2, 1, 0
8, 1, 1, 68, 0, 0, 2, 1, 0
31, 1, 0, 65, 0, 0, 2, 1, 0
31, 1, 0, 66, 0, 0, 2, 1, 0
31, 1, 0, 67, 0, 0, 2, 1, 0
31, 1, 0, 68, 0, 0, 2, 1, 0
8, 1, 1, 94, 1, 0, 2, 2, 0
8, 1, 1, 95, 1, 0, 2, 2, -1
8, 1, 1, 96, 1, 0, 2, 2, -2
8, 1, 1, 97, 1, 0, 2, 2, -3
30, 1, 0, 75, 0, 0, 2, 1, 0
30, 1, 0, 76, 0, 0, 2, 1, 0
30, 1, 0, 77, 0, 0, 2, 1, 0
30, 1, 0, 78, 0, 0, 2, 1, 0
25, 1, 1, 57, 0, 0, 2, 1, 0
25, 1, 1, 58, 0, 0, 2, 1, 0
25, 1, 1, 59, 0, 0, 2, 1, 0
25, 1, 1, 60, 0, 0, 2, 1, 0
25, 1, 1, 61, 0, 0, 2, 1, 0
25, 1, 1, 75, 0, 0, 2, 1, 0
25, 1, 1, 76, 0, 0, 2, 1, 0
25, 1, 1, 77, 0, 0, 2, 1, 0
25, 1, 1, 78, 0, 0, 2, 1, 0
25, 1, 1, 65, 0, 0, 2, 1, 0
25, 1, 1, 66, 0, 0, 2, 1, 0
25, 1, 1, 67, 0, 0, 2, 1, 0
25, 1, 1, 68, 0, 0, 2, 1, 0
32, 1, 0, 65, 0, 0, 2, 1, 0
32, 1, 0, 66, 0, 0, 2, 1, 0
32, 1, 0, 67, 0, 0, 2, 1, 0
32, 1, 0, 68, 0, 0, 2, 1, 0
34, 1, 0, 16, 0, 0, 2, 2, -1
34, 1, 0, 17, 0, 0, 2, 2, -2
34, 1, 0, 18, 0, 0, 2, 2, -3
34, 1, 0, 19, 0, 0, 2, 2, -4
25, 1, 1, 55, 0, 0, 2, 2, -1
25, 1, 1, 56, 0, 0, 2, 2, -2
25, 1, 1, 57, 0, 0, 2, 2, -3
33, 1, 0, 65, 0, 0, 2, 1, 0
25, 1, 1, 58, 0, 0, 2, 2, -4
33, 1, 0, 66, 0, 0, 2, 1, 0
33, 1, 0, 67, 0, 0, 2, 1, 0
33, 1, 0, 68, 0, 0, 2, 1, 0
35, 1, 0, 57, 0, 0, 2, 1, 0
35, 1, 0, 58, 0, 0, 2, 1, 0
35, 1, 0, 59, 0, 0, 2, 1, 0
35, 1, 0, 60, 0, 0, 2, 1, 0
36, 1, 0, 65, 0, 0, 3, 1, 0
36, 1, 0, 66, 0, 0, 3, 1, 0
40, 1, 0, 2, 0, 0, 3, 2, -1
36, 1, 0, 67, 0, 0, 3, 1, 0
40, 1, 0, 3, 0, 0, 3, 2, -2
36, 1, 0, 68, 0, 0, 3, 1, 0
40, 1, 0, 4, 0, 0, 3, 2, -3
40, 1, 0, 5, 0, 0, 3, 2, -4
41, 1, 0, 8, 0, 0, 3, 2, -1
41, 1, 0, 9, 0, 0, 3, 2, -2
41, 1, 0, 10, 0, 0, 3, 2, -3
41, 1, 0, 11, 0, 0, 3, 2, -4
37, 1, 0, 57, 0, 0, 3, 1, 0
37, 1, 0, 58, 0, 0, 3, 1, 0
37, 1, 0, 59, 0, 0, 3, 1, 0
37, 1, 0, 60, 0, 0, 3, 1, 0
38, 1, 0, 57, 0, 0, 3, 1, 0
38, 1, 0, 58, 0, 0, 3, 1, 0
38, 1, 0, 59, 0, 0, 3, 1, 0
38, 1, 0, 60, 0, 0, 3, 1, 0
44, 1, 0, 14, 0, 0, 3, 2, -1
44, 1, 0, 15, 0, 0, 3, 2, -2
44, 1, 0, 16, 0, 0, 3, 2, -3
44, 1, 0, 17, 0, 0, 3, 2, -4
39, 1, 0, 67, 0, 0, 3, 1, 0
