key,generation,grandChild,survivedTime,eatenTrees,reproduced,reproducedMutual,timeOfDeath,causeOfDeath,fitness,newLevel
1, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0
18, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0
19, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0
76, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0
82, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0
94, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0
116, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0
25, 1, 0, 3, 0, 0, 0, 0, 2, 0, 0
113, 1, 0, 3, 0, 0, 0, 0, 2, 0, 0
52, 1, 0, 4, 1, 0, 0, 0, 2, 1, 0
110, 1, 0, 4, 0, 0, 0, 0, 2, 0, 0
112, 1, 0, 4, 0, 0, 0, 0, 2, 0, 0
130, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0
45, 1, 0, 8, 0, 0, 0, 0, 2, 0, 0
106, 1, 0, 8, 0, 0, 0, 0, 2, 0, 0
71, 1, 0, 9, 0, 0, 0, 0, 2, 0, 0
8, 1, 0, 11, 0, 0, 0, 0, 2, 0, 0
66, 1, 0, 11, 0, 0, 0, 0, 2, 0, 0
65, 1, 0, 13, 1, 0, 0, 0, 2, 1, 0
79, 1, 0, 15, 0, 0, 0, 0, 2, 0, 0
41, 1, 0, 18, 0, 0, 0, 1, 2, 0, 0
96, 1, 0, 18, 0, 0, 0, 1, 2, 0, 0
24, 1, 0, 20, 0, 0, 0, 1, 2, 0, 0
46, 1, 0, 20, 1, 0, 0, 1, 2, 1, 0
73, 1, 0, 20, 1, 0, 0, 1, 2, 1, 0
56, 1, 0, 22, 2, 0, 0, 1, 2, 2, 0
139, 1, 0, 8, 0, 0, 0, 1, 2, 0, 0
34, 1, 0, 23, 0, 0, 0, 1, 2, 0, 0
48, 1, 0, 25, 1, 0, 0, 1, 2, 1, 0
98, 1, 0, 25, 0, 0, 0, 1, 2, 0, 0
4, 1, 0, 29, 0, 0, 0, 1, 2, 0, 0
11, 1, 0, 29, 0, 0, 0, 1, 2, 0, 0
69, 1, 0, 29, 2, 0, 0, 1, 2, 2, 0
122, 1, 0, 28, 0, 0, 0, 1, 2, 0, 0
7, 1, 0, 31, 0, 0, 0, 1, 2, 0, 0
64, 1, 0, 32, 0, 0, 0, 1, 2, 0, 0
29, 1, 0, 33, 0, 0, 0, 1, 2, 0, 0
0, 1, 0, 36, 1, 0, 0, 1, 2, 1, 0
21, 1, 0, 36, 2, 0, 0, 1, 2, 2, 0
59, 1, 0, 36, 0, 0, 0, 1, 2, 0, 0
2, 1, 0, 38, 0, 0, 0, 1, 2, 0, 0
15, 1, 0, 38, 1, 0, 0, 1, 2, 1, 0
90, 1, 0, 38, 0, 0, 0, 1, 2, 0, 0
124, 1, 0, 37, 0, 0, 0, 1, 2, 0, 0
42, 1, 0, 40, 1, 0, 0, 1, 2, 1, 0
57, 1, 0, 40, 0, 0, 0, 1, 2, 0, 0
107, 1, 0, 41, 1, 0, 0, 1, 2, 1, 0
109, 1, 0, 41, 0, 0, 0, 1, 2, 0, 0
151, 1, 0, 13, 0, 0, 0, 1, 2, 0, 0
127, 1, 0, 41, 0, 0, 0, 1, 2, 0, 0
67, 1, 0, 44, 1, 0, 0, 1, 2, 1, 0
84, 1, 0, 44, 4, 0, 0, 1, 2, 4, 0
150, 1, 0, 17, 4, 0, 0, 1, 2, 4, 0
120, 1, 0, 46, 0, 0, 0, 1, 2, 0, 0
126, 1, 0, 46, 0, 0, 0, 1, 2, 0, 0
20, 1, 0, 51, 0, 0, 0, 1, 2, 1, 0
146, 1, 0, 30, 2, 0, 0, 1, 2, 2, 0
30, 1, 0, 53, 0, 0, 0, 1, 2, 1, 0
58, 1, 0, 56, 0, 0, 0, 1, 2, 1, 0
3, 1, 0, 57, 0, 0, 0, 1, 2, 1, 0
170, 1, 0, 4, 2, 0, 0, 2, 2, 2, 0
86, 1, 0, 61, 0, 0, 0, 2, 2, 1, 0
72, 1, 0, 65, 0, 0, 0, 2, 2, 1, 0
157, 1, 0, 30, 0, 0, 0, 2, 2, 0, 0
32, 1, 0, 68, 0, 0, 0, 2, 2, 1, 0
156, 1, 0, 38, 3, 0, 0, 2, 2, 3, 0
135, 1, 1, 28, 1, 0, 0, 2, 2, 1, 0
147, 1, 0, 51, 0, 0, 0, 2, 2, 1, 0
135, 1, 1, 34, 0, 0, 0, 2, 2, 0, 0
115, 1, 0, 77, 2, 0, 0, 2, 2, 3, 0
140, 1, 0, 61, 2, 0, 0, 2, 2, 3, 0
152, 1, 0, 50, 2, 0, 0, 2, 2, 3, 0
135, 1, 0, 71, 1, 0, 1, 2, 2, 5, 0
136, 1, 0, 69, 0, 0, 0, 2, 2, 1, 0
145, 1, 0, 60, 8, 0, 0, 2, 2, 9, 0
174, 1, 0, 11, 0, 0, 0, 2, 2, 0, 0
135, 1, 1, 15, 1, 0, 0, 2, 2, 1, 0
33, 1, 0, 86, 5, 0, 0, 2, 2, 6, 0
35, 1, 0, 86, 0, 0, 0, 2, 2, 1, 0
68, 1, 0, 86, 0, 0, 0, 2, 2, 1, 0
102, 1, 0, 86, 4, 0, 0, 2, 2, 5, 0
125, 1, 0, 85, 1, 0, 0, 2, 2, 2, 0
173, 1, 0, 19, 0, 0, 0, 2, 2, 0, 0
160, 1, 0, 50, 0, 0, 0, 2, 2, 1, 0
135, 1, 1, 47, 3, 0, 0, 2, 2, 3, 0
9, 1, 0, 89, 2, 0, 0, 2, 2, 3, 0
81, 1, 0, 90, 0, 0, 0, 2, 2, 1, 0
5, 1, 0, 91, 5, 0, 0, 2, 2, 6, 0
129, 1, 0, 89, 0, 0, 0, 2, 2, 1, 0
132, 1, 0, 88, 4, 0, 0, 2, 2, 5, 0
176, 1, 0, 15, 0, 0, 0, 2, 2, 0, 0
135, 1, 1, 6, 0, 0, 0, 2, 2, 0, 0
70, 1, 0, 93, 2, 0, 0, 2, 2, 3, 0
108, 1, 0, 95, 2, 0, 0, 2, 2, 3, 0
187, 1, 0, 4, 0, 0, 0, 2, 2, 0, 0
142, 1, 0, 77, 3, 0, 0, 2, 2, 4, 0
61, 1, 0, 97, 6, 0, 0, 3, 2, 7, 0
178, 1, 0, 20, 1, 0, 0, 3, 2, 1, 0
175, 1, 0, 23, 0, 0, 0, 3, 2, 0, 0
188, 1, 0, 8, 0, 0, 0, 3, 2, 0, 0
13, 1, 0, 100, 2, 0, 1, 3, 2, 7, 0
189, 1, 0, 9, 0, 0, 0, 3, 2, 0, 0
47, 1, 0, 103, 0, 0, 0, 3, 2, 2, 0
22, 1, 0, 108, 0, 0, 0, 3, 1, 2, 0
163, 1, 1, 9, 0, 0, 0, 3, 2, 0, 0
141, 1, 0, 92, 0, 0, 0, 3, 2, 1, 0
159, 1, 0, 77, 2, 0, 0, 3, 2, 3, 0
163, 1, 1, 18, 1, 0, 0, 3, 2, 1, 0
6, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
12, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
14, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
16, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
17, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
23, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
26, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
27, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
31, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
37, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
38, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
44, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
49, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
50, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
51, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
53, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
62, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
77, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
78, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
83, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
87, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
88, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
89, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
92, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
93, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
97, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
100, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
101, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
105, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
114, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
117, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
118, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
119, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
181, 1, 0, 30, 0, 0, 0, 3, 2, 0, 0
163, 1, 1, 23, 0, 0, 0, 3, 2, 0, 0
91, 1, 0, 114, 0, 0, 0, 3, 2, 2, 0
104, 1, 0, 114, 0, 0, 0, 3, 1, 2, 0
121, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
163, 1, 1, 23, 0, 0, 0, 3, 2, 0, 0
163, 1, 1, 2, 0, 0, 0, 3, 2, 0, 0
212, 1, 0, 2, 0, 0, 0, 3, 2, 0, 0
128, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
135, 1, 1, 30, 1, 0, 0, 3, 2, 1, 0
192, 1, 0, 8, 1, 0, 0, 3, 2, 1, 0
193, 1, 0, 4, 0, 0, 0, 3, 2, 0, 0
40, 1, 0, 116, 0, 0, 0, 3, 1, 2, 0
75, 1, 0, 116, 0, 0, 0, 3, 1, 2, 0
163, 1, 0, 77, 4, 0, 2, 3, 2, 11, 0
204, 1, 0, 4, 0, 0, 0, 3, 2, 0, 0
111, 1, 0, 117, 0, 0, 0, 3, 1, 2, 0
131, 1, 0, 114, 0, 0, 0, 3, 1, 2, 0
163, 1, 1, 5, 0, 0, 0, 3, 2, 0, 0
197, 1, 0, 6, 0, 0, 0, 3, 2, 0, 0
133, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
134, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
103, 1, 0, 122, 0, 0, 0, 3, 2, 2, 0
163, 1, 1, 10, 0, 0, 0, 3, 2, 0, 0
163, 1, 1, 10, 1, 0, 0, 3, 2, 1, 0
63, 1, 0, 123, 3, 0, 0, 3, 2, 5, 0
137, 1, 0, 113, 0, 0, 0, 3, 1, 2, 0
163, 1, 1, 2, 0, 0, 0, 3, 2, 0, 0
184, 1, 0, 40, 2, 0, 0, 3, 2, 2, 0
135, 1, 1, 80, 0, 0, 0, 3, 2, 1, 0
205, 1, 0, 14, 0, 0, 0, 3, 2, 0, 0
